Player Name,Team,Date,Location,TOI,G,A,+/-,S,B,PM,TK,GV,FO
Bobby Brink,Flyers,2024-10-11,Away,12:24,0,1,-1,2,1,0,0,3,0/0
Sean Couturier,Flyers,2024-10-11,Away,15:15,0,0,0,1,1,0,1,0,5/16
Joel Farabee,Flyers,2024-10-11,Away,14:15,0,1,-1,0,0,0,1,1,0/0
Tyson Foerster,Flyers,2024-10-11,Away,19:08,1,0,0,4,1,0,0,1,0/0
Morgan Frost,Flyers,2024-10-11,Away,17:10,0,0,0,3,0,2,0,1,10/21
Garnet Hathaway,Flyers,2024-10-11,Away,11:45,0,1,0,0,2,0,1,0,0/0
Travis Konecny,Flyers,2024-10-11,Away,21:48,0,0,0,4,0,0,0,2,0/1
Scott Laughton,Flyers,2024-10-11,Away,11:19,0,0,0,2,0,2,0,0,1/2
Jett Luchanko,Flyers,2024-10-11,Away,14:36,0,0,-1,1,0,0,0,1,3/9
Matvei Michkov,Flyers,2024-10-11,Away,18:32,0,0,0,4,1,2,0,1,0/0
Ryan Poehling,Flyers,2024-10-11,Away,13:38,0,1,0,1,2,0,0,1,7/13
Owen Tippett,Flyers,2024-10-11,Away,17:11,0,0,0,2,4,0,0,1,1/2
Jamie Drysdale,Flyers,2024-10-11,Away,18:37,0,0,-1,0,3,0,1,1,0/0
Erik Johnson,Flyers,2024-10-11,Away,15:45,0,0,0,0,0,0,0,1,0/0
Rasmus Ristolainen,Flyers,2024-10-11,Away,19:01,0,0,-1,3,0,0,0,0,0/0
Travis Sanheim,Flyers,2024-10-11,Away,24:18,0,0,1,2,3,0,1,0,0/0
Cam York,Flyers,2024-10-11,Away,20:47,1,0,1,1,0,2,2,1,0/0
Egor Zamula,Flyers,2024-10-11,Away,19:31,0,0,-2,1,2,0,0,0,0/0
Bobby Brink,Flyers,2024-10-12,Away,13:32,0,1,0,3,0,0,0,0,0/0
Noah Cates,Flyers,2024-10-12,Away,11:28,0,0,-1,1,0,0,0,0,5/13
Sean Couturier,Flyers,2024-10-12,Away,13:04,0,1,1,0,1,0,0,4,9/13
Joel Farabee,Flyers,2024-10-12,Away,13:25,1,0,0,6,0,0,1,0,0/2
Tyson Foerster,Flyers,2024-10-12,Away,14:06,0,0,-1,4,0,17,0,0,0/0
Morgan Frost,Flyers,2024-10-12,Away,18:48,0,1,-2,4,0,0,0,0,11/17
Garnet Hathaway,Flyers,2024-10-12,Away,10:04,0,0,-1,3,0,0,0,0,0/0
Travis Konecny,Flyers,2024-10-12,Away,21:13,2,0,-1,5,1,2,0,1,1/1
Scott Laughton,Flyers,2024-10-12,Away,10:14,0,1,0,2,0,0,0,1,1/4
Matvei Michkov,Flyers,2024-10-12,Away,18:36,0,1,-2,0,1,0,0,1,1/1
Ryan Poehling,Flyers,2024-10-12,Away,13:27,0,0,-1,0,1,4,0,1,7/13
Owen Tippett,Flyers,2024-10-12,Away,20:14,0,0,-1,2,0,0,0,1,1/2
Jamie Drysdale,Flyers,2024-10-12,Away,18:58,0,0,-2,1,3,0,0,2,0/0
Erik Johnson,Flyers,2024-10-12,Away,11:43,0,1,0,1,0,2,0,0,0/0
Rasmus Ristolainen,Flyers,2024-10-12,Away,16:37,0,0,0,1,1,0,1,0,0/0
Travis Sanheim,Flyers,2024-10-12,Away,22:05,0,0,0,3,3,2,1,0,0/0
Cam York,Flyers,2024-10-12,Away,24:39,0,0,1,3,2,0,0,0,0/0
Egor Zamula,Flyers,2024-10-12,Away,18:54,0,0,-2,1,4,0,0,1,0/0
Bobby Brink,Flyers,2024-10-15,Away,11:06,1,0,0,1,1,2,2,1,0/1
Sean Couturier,Flyers,2024-10-15,Away,09:52,0,0,-1,0,0,5,0,0,6/10
Joel Farabee,Flyers,2024-10-15,Away,13:30,0,1,0,0,2,5,1,0,1/1
Tyson Foerster,Flyers,2024-10-15,Away,19:24,0,0,1,0,1,0,0,0,0/0
Morgan Frost,Flyers,2024-10-15,Away,16:31,0,2,0,2,2,0,0,1,6/17
Garnet Hathaway,Flyers,2024-10-15,Away,12:20,0,0,-1,2,2,0,1,1,0/0
Travis Konecny,Flyers,2024-10-15,Away,24:03,0,1,-2,5,0,2,0,2,1/2
Scott Laughton,Flyers,2024-10-15,Away,13:05,0,0,-1,1,1,0,1,0,1/2
Jett Luchanko,Flyers,2024-10-15,Away,17:00,0,0,0,2,1,2,0,0,6/14
Matvei Michkov,Flyers,2024-10-15,Away,18:03,2,0,-1,5,2,0,0,0,0/1
Ryan Poehling,Flyers,2024-10-15,Away,13:58,0,0,-1,0,2,0,0,1,5/16
Owen Tippett,Flyers,2024-10-15,Away,16:15,0,1,-1,5,0,0,1,0,1/2
Jamie Drysdale,Flyers,2024-10-15,Away,13:54,0,0,0,1,1,0,0,1,0/0
Erik Johnson,Flyers,2024-10-15,Away,11:39,0,0,0,0,3,0,0,1,0/0
Rasmus Ristolainen,Flyers,2024-10-15,Away,18:20,0,0,-1,1,2,0,0,0,0/0
Travis Sanheim,Flyers,2024-10-15,Away,21:55,0,0,-3,3,0,2,0,0,0/0
Cam York,Flyers,2024-10-15,Away,23:52,0,0,-2,1,0,0,1,1,0/0
Egor Zamula,Flyers,2024-10-15,Away,20:01,0,1,0,1,2,0,0,0,0/0
Bobby Brink,Flyers,2024-10-17,Away,12:23,0,1,0,3,0,0,1,0,0/0
Sean Couturier,Flyers,2024-10-17,Away,13:31,0,0,0,4,1,0,0,0,6/12
Joel Farabee,Flyers,2024-10-17,Away,12:55,0,0,-2,1,1,2,0,0,0/0
Tyson Foerster,Flyers,2024-10-17,Away,16:25,0,0,-3,0,0,0,1,2,0/0
Morgan Frost,Flyers,2024-10-17,Away,20:18,0,0,-2,3,3,2,1,1,10/15
Garnet Hathaway,Flyers,2024-10-17,Away,10:25,0,2,2,0,0,4,0,1,0/0
Travis Konecny,Flyers,2024-10-17,Away,15:23,0,0,-1,0,0,5,0,0,0/2
Scott Laughton,Flyers,2024-10-17,Away,16:12,2,1,3,2,1,0,0,0,1/4
Jett Luchanko,Flyers,2024-10-17,Away,12:14,0,0,-2,0,0,0,1,0,5/9
Matvei Michkov,Flyers,2024-10-17,Away,21:54,0,1,-2,1,0,2,0,0,2/2
Ryan Poehling,Flyers,2024-10-17,Away,11:00,0,2,2,2,0,0,0,0,7/12
Owen Tippett,Flyers,2024-10-17,Away,20:12,0,0,-1,4,2,0,3,1,0/1
Jamie Drysdale,Flyers,2024-10-17,Away,20:15,1,0,-3,1,1,0,0,0,0/0
Erik Johnson,Flyers,2024-10-17,Away,12:36,0,0,-1,0,0,0,0,1,0/0
Rasmus Ristolainen,Flyers,2024-10-17,Away,14:30,0,0,0,1,3,0,0,1,0/0
Travis Sanheim,Flyers,2024-10-17,Away,24:53,0,0,0,1,2,2,1,1,0/0
Cam York,Flyers,2024-10-17,Away,25:17,1,0,0,1,5,2,0,1,0/0
Egor Zamula,Flyers,2024-10-17,Away,13:40,0,0,0,1,2,0,1,1,0/0
Bobby Brink,Flyers,2024-10-19,Home,11:38,0,0,0,1,0,0,0,0,0/0
Sean Couturier,Flyers,2024-10-19,Home,15:58,0,0,0,2,0,0,0,0,5/7
Joel Farabee,Flyers,2024-10-19,Home,14:51,0,0,-2,3,1,0,0,1,1/1
Tyson Foerster,Flyers,2024-10-19,Home,13:59,0,0,0,1,0,0,0,0,0/0
Morgan Frost,Flyers,2024-10-19,Home,18:25,0,0,-1,4,1,0,0,2,10/19
Garnet Hathaway,Flyers,2024-10-19,Home,12:24,0,0,0,0,0,6,0,2,0/0
Travis Konecny,Flyers,2024-10-19,Home,20:19,0,0,-2,1,2,0,0,1,1/3
Scott Laughton,Flyers,2024-10-19,Home,15:54,0,0,-2,0,1,0,0,0,3/11
Jett Luchanko,Flyers,2024-10-19,Home,12:23,0,0,0,0,0,0,0,0,3/5
Matvei Michkov,Flyers,2024-10-19,Home,15:49,0,0,-1,1,0,0,0,3,0/0
Ryan Poehling,Flyers,2024-10-19,Home,13:54,0,0,0,0,1,0,0,1,5/10
Owen Tippett,Flyers,2024-10-19,Home,16:26,0,0,-1,4,0,0,0,1,1/1
Jamie Drysdale,Flyers,2024-10-19,Home,20:50,0,0,-1,1,2,0,0,1,0/0
Erik Johnson,Flyers,2024-10-19,Home,14:08,0,0,-1,0,0,0,0,2,0/0
Rasmus Ristolainen,Flyers,2024-10-19,Home,13:28,0,0,-1,0,3,0,0,2,0/0
Travis Sanheim,Flyers,2024-10-19,Home,22:14,0,0,-1,5,0,0,1,1,0/0
Cam York,Flyers,2024-10-19,Home,22:24,0,0,-1,2,1,0,0,0,0/0
Egor Zamula,Flyers,2024-10-19,Home,21:18,0,0,-1,1,0,0,0,1,0/0
Bobby Brink,Flyers,2024-10-22,Home,08:57,0,0,-2,2,0,2,0,1,0/0
Noah Cates,Flyers,2024-10-22,Home,11:31,0,0,0,0,0,0,1,0,2/4
Sean Couturier,Flyers,2024-10-22,Home,17:43,0,0,-2,0,2,0,2,0,8/16
Nicolas Deslauriers,Flyers,2024-10-22,Home,06:01,0,0,0,1,0,5,0,0,0/0
Joel Farabee,Flyers,2024-10-22,Home,12:36,0,0,-2,0,0,0,1,1,0/0
Morgan Frost,Flyers,2024-10-22,Home,13:54,0,0,-1,1,2,0,0,1,6/15
Garnet Hathaway,Flyers,2024-10-22,Home,12:19,0,0,0,0,1,0,0,0,0/1
Travis Konecny,Flyers,2024-10-22,Home,18:35,0,0,0,2,0,6,0,1,0/0
Scott Laughton,Flyers,2024-10-22,Home,17:33,0,0,-4,3,1,0,0,1,2/3
Matvei Michkov,Flyers,2024-10-22,Home,19:56,0,1,0,0,0,0,1,2,0/1
Ryan Poehling,Flyers,2024-10-22,Home,16:07,0,0,1,0,2,2,0,0,6/11
Owen Tippett,Flyers,2024-10-22,Home,18:19,0,0,-1,2,0,0,0,1,0/0
Jamie Drysdale,Flyers,2024-10-22,Home,17:55,0,0,-2,1,1,0,0,0,0/0
Rasmus Ristolainen,Flyers,2024-10-22,Home,18:36,0,0,0,0,0,0,0,1,0/0
Travis Sanheim,Flyers,2024-10-22,Home,21:07,1,0,1,2,1,0,1,1,0/0
Nick Seeler,Flyers,2024-10-22,Home,15:30,0,0,-1,2,1,2,0,2,0/0
Cam York,Flyers,2024-10-22,Home,21:29,0,1,1,1,2,0,2,1,0/0
Egor Zamula,Flyers,2024-10-22,Home,19:52,0,0,-3,1,1,0,0,1,0/0
Noah Cates,Flyers,2024-10-23,Away,13:39,0,0,0,0,1,0,1,0,10/15
Sean Couturier,Flyers,2024-10-23,Away,15:56,0,0,-2,3,0,0,1,2,14/19
Nicolas Deslauriers,Flyers,2024-10-23,Away,06:52,0,0,0,1,1,0,0,1,0/0
Joel Farabee,Flyers,2024-10-23,Away,08:58,0,0,-1,0,0,0,0,3,0/1
Tyson Foerster,Flyers,2024-10-23,Away,13:51,0,1,0,1,0,2,0,1,0/0
Morgan Frost,Flyers,2024-10-23,Away,19:25,0,0,-4,7,0,2,0,0,8/15
Garnet Hathaway,Flyers,2024-10-23,Away,11:48,0,0,0,3,0,0,0,0,0/0
Travis Konecny,Flyers,2024-10-23,Away,21:26,1,0,-4,5,0,2,0,0,0/1
Scott Laughton,Flyers,2024-10-23,Away,18:19,0,0,-2,0,0,0,0,3,1/3
Matvei Michkov,Flyers,2024-10-23,Away,21:03,1,1,-3,3,0,2,1,2,2/3
Ryan Poehling,Flyers,2024-10-23,Away,11:21,0,0,-1,0,3,0,0,0,7/11
Owen Tippett,Flyers,2024-10-23,Away,17:18,1,1,-2,1,0,0,0,0,0/0
Jamie Drysdale,Flyers,2024-10-23,Away,22:23,0,2,-1,0,3,0,0,1,0/0
Rasmus Ristolainen,Flyers,2024-10-23,Away,14:34,0,0,-2,0,0,0,0,0,0/0
Travis Sanheim,Flyers,2024-10-23,Away,23:00,0,0,0,4,2,0,0,1,0/0
Nick Seeler,Flyers,2024-10-23,Away,12:36,0,0,-1,0,1,0,0,2,0/0
Cam York,Flyers,2024-10-23,Away,22:05,0,0,-2,0,0,0,0,1,0/0
Egor Zamula,Flyers,2024-10-23,Away,19:02,0,1,-2,1,2,0,0,1,0/0
Noah Cates,Flyers,2024-10-26,Home,07:52,0,1,1,0,0,0,0,0,4/7
Sean Couturier,Flyers,2024-10-26,Home,17:32,3,2,5,5,1,0,0,1,11/14
Nicolas Deslauriers,Flyers,2024-10-26,Home,06:15,0,0,0,0,0,0,0,0,0/0
Joel Farabee,Flyers,2024-10-26,Home,15:59,0,0,0,1,1,2,0,2,0/1
Tyson Foerster,Flyers,2024-10-26,Home,11:54,0,0,-1,0,1,0,0,0,0/0
Morgan Frost,Flyers,2024-10-26,Home,11:00,0,1,-2,0,0,0,0,0,6/9
Garnet Hathaway,Flyers,2024-10-26,Home,15:14,0,0,-2,0,0,4,0,0,0/1
Travis Konecny,Flyers,2024-10-26,Home,19:45,1,4,4,4,1,0,1,1,0/0
Scott Laughton,Flyers,2024-10-26,Home,17:37,0,0,0,1,0,2,0,0,4/10
Matvei Michkov,Flyers,2024-10-26,Home,17:45,1,1,4,1,0,0,0,2,0/1
Ryan Poehling,Flyers,2024-10-26,Home,17:02,0,0,-1,0,3,0,0,1,3/12
Owen Tippett,Flyers,2024-10-26,Home,14:34,0,2,-2,3,1,0,0,0,0/0
Jamie Drysdale,Flyers,2024-10-26,Home,18:16,0,0,2,1,1,0,0,3,0/0
Erik Johnson,Flyers,2024-10-26,Home,14:41,0,0,-1,1,1,0,0,0,0/0
Rasmus Ristolainen,Flyers,2024-10-26,Home,25:23,1,1,0,2,2,0,1,1,0/0
Travis Sanheim,Flyers,2024-10-26,Home,27:49,0,1,0,3,3,0,1,1,0/0
Nick Seeler,Flyers,2024-10-26,Home,18:39,1,1,3,1,2,0,1,1,0/0
Egor Zamula,Flyers,2024-10-26,Home,14:12,0,0,0,0,5,0,0,2,0/0
Noah Cates,Flyers,2024-10-27,Home,12:41,0,0,-1,2,0,0,0,0,6/10
Sean Couturier,Flyers,2024-10-27,Home,20:29,0,0,0,2,0,0,0,2,14/22
Nicolas Deslauriers,Flyers,2024-10-27,Home,05:24,0,1,0,0,0,0,0,0,0/0
Joel Farabee,Flyers,2024-10-27,Home,14:39,0,1,1,2,0,0,0,1,0/0
Tyson Foerster,Flyers,2024-10-27,Home,14:42,0,0,-1,0,0,0,0,0,0/0
Morgan Frost,Flyers,2024-10-27,Home,13:37,0,0,0,0,1,0,1,0,7/9
Garnet Hathaway,Flyers,2024-10-27,Home,07:47,0,1,1,2,2,0,0,2,0/0
Travis Konecny,Flyers,2024-10-27,Home,21:27,1,0,0,3,0,0,1,1,1/1
Scott Laughton,Flyers,2024-10-27,Home,16:37,0,0,0,1,0,0,0,2,0/1
Matvei Michkov,Flyers,2024-10-27,Home,21:33,0,0,0,2,0,2,1,2,1/2
Ryan Poehling,Flyers,2024-10-27,Home,13:46,0,1,1,3,2,0,0,1,6/11
Owen Tippett,Flyers,2024-10-27,Home,19:20,0,1,0,1,1,0,3,1,1/2
Emil Andrae,Flyers,2024-10-27,Home,17:28,0,0,0,1,2,0,1,0,0/0
Jamie Drysdale,Flyers,2024-10-27,Home,25:03,0,0,-1,2,2,2,0,5,0/0
Erik Johnson,Flyers,2024-10-27,Home,11:50,0,0,0,0,0,0,0,0,0/0
Rasmus Ristolainen,Flyers,2024-10-27,Home,20:06,0,0,1,1,0,0,1,1,0/0
Travis Sanheim,Flyers,2024-10-27,Home,24:50,2,1,2,3,1,0,0,1,0/0
Nick Seeler,Flyers,2024-10-27,Home,16:48,0,0,-2,1,2,0,1,2,0/0
Bobby Brink,Flyers,2024-10-29,Away,11:06,0,0,0,3,1,0,0,0,0/0
Noah Cates,Flyers,2024-10-29,Away,13:34,0,0,0,0,1,0,2,1,4/6
Sean Couturier,Flyers,2024-10-29,Away,19:03,0,0,0,3,4,0,0,0,8/17
Joel Farabee,Flyers,2024-10-29,Away,13:49,1,0,1,3,2,0,1,0,0/1
Tyson Foerster,Flyers,2024-10-29,Away,15:06,1,0,1,1,0,0,0,1,0/0
Morgan Frost,Flyers,2024-10-29,Away,12:30,0,1,1,0,1,2,0,1,3/5
Garnet Hathaway,Flyers,2024-10-29,Away,12:31,0,0,1,3,0,0,0,0,0/0
Travis Konecny,Flyers,2024-10-29,Away,19:32,0,0,0,0,1,0,0,0,1/1
Scott Laughton,Flyers,2024-10-29,Away,14:11,0,0,0,1,2,2,1,1,8/12
Matvei Michkov,Flyers,2024-10-29,Away,15:36,0,0,0,2,0,0,0,4,1/1
Ryan Poehling,Flyers,2024-10-29,Away,13:50,0,0,1,2,3,0,0,0,5/8
Owen Tippett,Flyers,2024-10-29,Away,12:48,0,0,1,0,0,0,1,0,0/0
Emil Andrae,Flyers,2024-10-29,Away,14:20,0,1,1,0,1,2,1,3,0/0
Jamie Drysdale,Flyers,2024-10-29,Away,20:31,0,0,0,0,4,0,0,0,0/0
Erik Johnson,Flyers,2024-10-29,Away,12:47,0,0,1,0,0,0,1,1,0/0
Rasmus Ristolainen,Flyers,2024-10-29,Away,23:23,0,0,1,1,2,0,0,0,0/0
Travis Sanheim,Flyers,2024-10-29,Away,23:40,0,0,1,0,4,2,1,1,0/0
Nick Seeler,Flyers,2024-10-29,Away,21:43,0,0,0,0,4,0,0,1,0/0
Bobby Brink,Flyers,2024-10-31,Home,12:16,1,0,0,2,1,0,0,0,0/0
Noah Cates,Flyers,2024-10-31,Home,14:41,0,0,1,1,1,0,1,0,0/0
Sean Couturier,Flyers,2024-10-31,Home,18:46,0,0,-1,1,1,2,0,0,12/19
Joel Farabee,Flyers,2024-10-31,Home,12:31,0,1,1,0,0,0,0,1,0/0
Tyson Foerster,Flyers,2024-10-31,Home,13:56,0,0,0,1,0,0,0,0,0/0
Morgan Frost,Flyers,2024-10-31,Home,13:56,0,0,0,1,0,0,2,1,1/5
Garnet Hathaway,Flyers,2024-10-31,Home,14:12,1,0,1,2,1,0,0,0,0/0
Travis Konecny,Flyers,2024-10-31,Home,22:04,0,0,-1,1,2,0,1,0,0/0
Scott Laughton,Flyers,2024-10-31,Home,14:52,0,1,1,1,0,0,0,1,5/9
Matvei Michkov,Flyers,2024-10-31,Home,13:56,0,0,0,1,1,0,0,1,1/1
Ryan Poehling,Flyers,2024-10-31,Home,12:22,0,1,1,0,0,0,0,0,4/9
Owen Tippett,Flyers,2024-10-31,Home,17:33,0,0,0,2,2,0,1,0,0/0
Emil Andrae,Flyers,2024-10-31,Home,17:03,0,0,1,0,1,0,0,2,0/0
Jamie Drysdale,Flyers,2024-10-31,Home,18:25,0,0,0,2,0,0,0,1,0/0
Erik Johnson,Flyers,2024-10-31,Home,13:11,0,0,0,0,2,2,0,0,0/0
Rasmus Ristolainen,Flyers,2024-10-31,Home,23:42,0,0,1,1,4,0,3,1,0/0
Travis Sanheim,Flyers,2024-10-31,Home,25:48,0,0,0,2,3,0,0,2,0/0
Nick Seeler,Flyers,2024-10-31,Home,16:53,0,1,0,3,6,0,0,0,0/0
Bobby Brink,Flyers,2024-11-02,Home,14:50,0,0,0,2,0,0,0,1,0/0
Noah Cates,Flyers,2024-11-02,Home,11:42,0,0,0,2,0,2,0,0,2/2
Sean Couturier,Flyers,2024-11-02,Home,17:24,0,0,-3,3,1,0,0,1,6/10
Joel Farabee,Flyers,2024-11-02,Home,14:24,0,0,-1,0,1,0,0,0,1/2
Tyson Foerster,Flyers,2024-11-02,Home,16:12,0,0,-1,0,1,0,1,1,0/0
Morgan Frost,Flyers,2024-11-02,Home,17:19,0,0,0,2,3,0,0,1,2/11
Garnet Hathaway,Flyers,2024-11-02,Home,10:19,0,0,0,1,3,4,0,0,0/0
Travis Konecny,Flyers,2024-11-02,Home,21:13,0,0,-2,1,1,4,0,0,1/3
Scott Laughton,Flyers,2024-11-02,Home,15:05,0,0,0,0,1,0,0,1,4/9
Matvei Michkov,Flyers,2024-11-02,Home,15:15,0,0,-3,2,0,0,0,1,1/1
Ryan Poehling,Flyers,2024-11-02,Home,11:41,0,0,0,0,2,0,0,1,4/6
Owen Tippett,Flyers,2024-11-02,Home,17:29,0,0,-1,3,0,0,0,1,0/1
Emil Andrae,Flyers,2024-11-02,Home,19:12,0,0,0,1,1,0,1,3,0/0
Jamie Drysdale,Flyers,2024-11-02,Home,23:49,0,0,-1,0,1,0,1,0,0/0
Erik Johnson,Flyers,2024-11-02,Home,10:54,0,0,0,1,1,0,2,0,0/0
Rasmus Ristolainen,Flyers,2024-11-02,Home,21:56,0,0,-2,1,1,0,0,1,0/0
Travis Sanheim,Flyers,2024-11-02,Home,23:15,0,0,-2,0,2,2,0,3,0/0
Nick Seeler,Flyers,2024-11-02,Home,15:00,0,0,0,1,1,0,0,0,0/0
Bobby Brink,Flyers,2024-11-05,Away,13:09,0,0,-3,0,3,0,0,0,0/0
Noah Cates,Flyers,2024-11-05,Away,12:50,0,0,0,0,1,0,0,1,3/6
Sean Couturier,Flyers,2024-11-05,Away,20:11,0,2,-1,1,1,2,2,0,13/23
Nicolas Deslauriers,Flyers,2024-11-05,Away,07:04,0,0,0,2,0,0,0,0,1/1
Joel Farabee,Flyers,2024-11-05,Away,15:27,0,0,-1,0,0,0,0,3,0/0
Tyson Foerster,Flyers,2024-11-05,Away,16:08,0,0,-2,1,3,0,0,0,0/0
Morgan Frost,Flyers,2024-11-05,Away,13:34,1,0,-1,1,1,0,0,1,6/11
Garnet Hathaway,Flyers,2024-11-05,Away,11:12,0,0,0,1,1,0,0,0,1/1
Travis Konecny,Flyers,2024-11-05,Away,22:11,2,2,0,2,2,0,1,3,0/1
Scott Laughton,Flyers,2024-11-05,Away,16:00,0,0,-2,0,0,0,0,2,8/12
Matvei Michkov,Flyers,2024-11-05,Away,13:57,0,1,0,1,1,0,1,0,1/1
Owen Tippett,Flyers,2024-11-05,Away,18:07,1,1,0,6,1,0,1,1,0/0
Emil Andrae,Flyers,2024-11-05,Away,14:09,0,0,-2,1,0,2,0,0,0/0
Jamie Drysdale,Flyers,2024-11-05,Away,23:59,0,0,0,0,2,0,0,1,0/0
Rasmus Ristolainen,Flyers,2024-11-05,Away,24:44,0,0,-2,0,1,0,0,2,0/0
Travis Sanheim,Flyers,2024-11-05,Away,25:10,0,1,-1,0,3,0,7,0,0/0
Nick Seeler,Flyers,2024-11-05,Away,18:16,0,0,1,0,1,0,0,0,0/0
Egor Zamula,Flyers,2024-11-05,Away,10:58,0,0,-2,0,0,0,0,0,0/0
Bobby Brink,Flyers,2024-11-07,Away,16:58,0,0,-1,1,0,0,0,0,1/1
Noah Cates,Flyers,2024-11-07,Away,10:41,0,0,0,1,1,0,1,0,2/4
Sean Couturier,Flyers,2024-11-07,Away,23:27,0,0,0,4,1,0,0,0,9/18
Nicolas Deslauriers,Flyers,2024-11-07,Away,05:11,0,0,0,0,1,0,0,0,0/0
Joel Farabee,Flyers,2024-11-07,Away,16:36,0,0,0,4,0,0,1,2,0/1
Tyson Foerster,Flyers,2024-11-07,Away,15:21,0,0,0,2,0,2,0,1,0/0
Morgan Frost,Flyers,2024-11-07,Away,15:18,0,0,0,0,0,2,1,0,5/7
Garnet Hathaway,Flyers,2024-11-07,Away,09:59,0,0,0,1,1,0,0,0,0/0
Travis Konecny,Flyers,2024-11-07,Away,23:17,0,1,1,2,1,0,0,0,0/1
Scott Laughton,Flyers,2024-11-07,Away,17:10,0,0,0,5,0,0,1,3,4/9
Anthony Richard,Flyers,2024-11-07,Away,16:00,0,0,-1,2,1,0,0,0,0/0
Owen Tippett,Flyers,2024-11-07,Away,20:17,1,0,1,3,1,0,1,3,0/0
Emil Andrae,Flyers,2024-11-07,Away,16:07,0,0,0,1,1,0,1,0,0/0
Jamie Drysdale,Flyers,2024-11-07,Away,25:51,0,0,1,2,2,0,0,4,0/0
Rasmus Ristolainen,Flyers,2024-11-07,Away,22:15,0,0,-1,0,2,0,2,1,0/0
Travis Sanheim,Flyers,2024-11-07,Away,28:21,0,0,1,2,2,0,2,3,0/0
Nick Seeler,Flyers,2024-11-07,Away,15:57,0,0,-1,0,2,0,0,2,0/0
Egor Zamula,Flyers,2024-11-07,Away,12:14,0,0,0,1,1,0,0,0,0/0
Bobby Brink,Flyers,2024-11-09,Away,14:17,0,1,-2,4,1,0,0,0,0/1
Noah Cates,Flyers,2024-11-09,Away,13:11,0,0,1,0,0,0,0,0,6/12
Sean Couturier,Flyers,2024-11-09,Away,24:21,0,0,0,4,1,0,0,1,14/27
Nicolas Deslauriers,Flyers,2024-11-09,Away,05:47,0,0,0,0,0,0,0,0,0/0
Joel Farabee,Flyers,2024-11-09,Away,19:22,1,0,-2,5,0,0,0,0,1/2
Tyson Foerster,Flyers,2024-11-09,Away,14:15,0,0,1,1,0,0,0,0,0/0
Morgan Frost,Flyers,2024-11-09,Away,09:30,0,0,1,1,0,0,0,0,2/8
Garnet Hathaway,Flyers,2024-11-09,Away,12:58,1,0,1,1,2,0,0,1,0/0
Travis Konecny,Flyers,2024-11-09,Away,24:08,0,1,1,3,1,2,0,1,0/1
Scott Laughton,Flyers,2024-11-09,Away,16:14,0,2,-1,3,1,0,2,0,4/10
Anthony Richard,Flyers,2024-11-09,Away,11:13,1,0,1,2,0,0,0,0,0/0
Owen Tippett,Flyers,2024-11-09,Away,24:18,0,0,0,7,1,0,0,0,0/0
Emil Andrae,Flyers,2024-11-09,Away,19:55,0,0,0,3,1,0,0,2,0/0
Jamie Drysdale,Flyers,2024-11-09,Away,19:53,0,0,-1,0,2,0,1,2,0/0
Rasmus Ristolainen,Flyers,2024-11-09,Away,21:52,0,1,2,0,1,0,0,1,0/0
Travis Sanheim,Flyers,2024-11-09,Away,30:19,0,0,-2,2,2,0,2,1,0/0
Nick Seeler,Flyers,2024-11-09,Away,18:38,0,1,1,0,4,2,1,1,0/0
Egor Zamula,Flyers,2024-11-09,Away,11:02,0,0,0,1,0,0,0,0,0/0
Bobby Brink,Flyers,2024-11-11,Home,13:15,0,0,-1,1,0,2,0,1,0/0
Noah Cates,Flyers,2024-11-11,Home,14:07,0,0,0,3,1,0,0,0,6/14
Sean Couturier,Flyers,2024-11-11,Home,20:09,0,0,0,0,1,0,1,1,11/18
Joel Farabee,Flyers,2024-11-11,Home,16:25,0,0,-2,2,0,0,1,1,0/1
Tyson Foerster,Flyers,2024-11-11,Home,12:32,0,0,0,2,0,0,0,0,0/0
Garnet Hathaway,Flyers,2024-11-11,Home,13:00,0,0,-1,0,0,0,0,1,1/1
Travis Konecny,Flyers,2024-11-11,Home,21:23,1,0,0,5,0,0,1,2,0/0
Scott Laughton,Flyers,2024-11-11,Home,15:57,0,0,-2,4,0,0,0,1,4/12
Matvei Michkov,Flyers,2024-11-11,Home,15:55,1,1,2,2,0,2,2,1,1/1
Ryan Poehling,Flyers,2024-11-11,Home,14:44,0,1,1,2,1,0,0,1,8/15
Anthony Richard,Flyers,2024-11-11,Home,11:00,0,1,1,1,0,0,0,0,0/0
Owen Tippett,Flyers,2024-11-11,Home,19:45,0,0,-1,6,1,0,1,1,0/0
Emil Andrae,Flyers,2024-11-11,Home,25:40,0,1,0,4,2,0,2,0,0/0
Erik Johnson,Flyers,2024-11-11,Home,12:51,1,0,0,1,1,5,2,0,0/0
Rasmus Ristolainen,Flyers,2024-11-11,Home,24:08,0,0,-2,3,1,0,0,3,0/0
Travis Sanheim,Flyers,2024-11-11,Home,30:23,0,0,0,4,2,0,0,0,0/0
Nick Seeler,Flyers,2024-11-11,Home,18:42,0,0,-2,3,0,5,1,0,0/0
Egor Zamula,Flyers,2024-11-11,Home,13:03,0,1,2,0,0,0,1,1,0/0
Bobby Brink,Flyers,2024-11-14,Away,11:36,1,1,2,1,0,0,0,1,0/1
Noah Cates,Flyers,2024-11-14,Away,17:04,0,1,2,0,2,0,0,0,4/11
